T	q_ratio	TPD_harm	Des_rate_harm	pre_harm	TPD_tait	Des_rate_tait	pre_tait	TPD_HH	Des_rate_HH	pre_HH
125.30000000000011	0.04000784371228905	2.246822322052864e-09	4.4936448493550106e-09	6.1649125194760824e+16	5.6159487263931813e-08	1.1231909626698316e-07	1.5409259653707433e+18	6.069848732418957e-14	1.2139697464852966e-13	1665467018259.4915
125.4000000000001	0.03990573793094217	2.3535166526273483e-09	4.707033530826472e-09	6.166372393721248e+16	5.8976834018488664e-08	1.17953802507602e-07	1.5452345235144643e+18	6.356580983825347e-14	1.2713161967667232e-13	1665467018259.4915
125.50000000000011	0.03980393155740699	2.465093137781804e-09	4.93018652343266e-09	6.167824900962748e+16	6.193082465993593e-08	1.2386179783075266e-07	1.5495516798553526e+18	6.656368477120384e-14	1.331273695425893e-13	1665467018259.4915
125.60000000000011	0.03970242361414851	2.581766605865222e-09	5.163533484059791e-09	6.169270055317123e+16	6.502785602409377e-08	1.3005587604026504e-07	1.553877444680384e+18	6.96978300370881e-14	1.3939566007437566e-13	1665467018259.4915
125.70000000000012	0.03960121312709612	2.703760954547499e-09	5.407522208253488e-09	6.170707870890339e+16	6.827461346603256e-08	1.3654940799158312e-07	1.558211828280631e+18	7.297420390635804e-14	1.4594840781293509e-13	1665467018259.4915
125.80000000000011	0.03950029912563091	2.831309517179515e-09	5.66261936294054e-09	6.172138361777767e+16	7.16780833721204e-08	1.4335636661713739e-07	1.5625548409512658e+18	7.639901467798438e-14	1.527980293562092e-13	1665467018259.4915
125.9000000000001	0.03939968064257222	2.9646554432707668e-09	5.929311247385934e-09	6.1735615420640136e+16	7.5245566192564e-08	1.504913529928256e-07	1.566906492991556e+18	7.997873072306395e-14	1.5995746144639183e-13	1665467018259.4915
126.00000000000011	0.03929935671416528	3.1040520936016116e-09	6.208104583419242e-09	6.174977425822949e+16	7.898469001515165e-08	1.5796962348703178e-07	1.5712667947048627e+18	8.372009091348617e-14	1.67440181827262e-13	1665467018259.4915
126.10000000000011	0.039199326380067956	3.2497634505048817e-09	6.499527335999949e-09	6.176386027117547e+16	8.290342470169684e-08	1.6580711803519216e-07	1.5756357563986383e+18	8.763011544969812e-14	1.752602308997141e-13	1665467018259.4915
126.20000000000012	0.039099588683338016	3.4020645438708422e-09	6.804129565229623e-09	6.177787359999847e+16	8.701009660950428e-08	1.740204895845656e-07	1.5800133883844314e+18	9.171611710210244e-14	1.8343223420455362e-13	1665467018259.4915
126.30000000000011	0.03900014267042048	3.5612418934474683e-09	7.1224843109549514e-09	6.179181438510865e+16	9.131340392100098e-08	1.8262713475550883e-07	1.5843997009778742e+18	9.598571288109987e-14	1.9197142576258235e-13	1665467018259.4915
