T	q_vib_full	q_vib_frag	q_rot_vib_full	q_rot_vib_frag
145.0	0.0507673368072319	0.043657071613877746	0.1975067882673942	0.22114375847251383
146.0	0.049783226122972785	0.0426513219161108	0.1935880985485596	0.21763631334661354
147.0	0.04882182549710046	0.04167155293696323	0.18976121631203458	0.21420008803376056
148.0	0.04788254104000046	0.04071703223773359	0.186023662416238	0.21083335017144622
149.0	0.04696479565517118	0.03978704920269303	0.18237303318504353	0.20753441541172477
150.0	0.04606802855148734	0.03888091438150995	0.1788069978596547	0.20430164595026254
151.0	0.04519169476891535	0.03799795885009641	0.17532329614503014	0.2011334491046862
152.0	0.04433526471739963	0.03713753358951683	0.17191973584700607	0.1980282759404302
153.0	0.04349822372862901	0.036299008882592375	0.1685941905964514	0.1949846199423041
154.0	0.0426800716203991	0.03548177372782727	0.16534459765693785	0.1920010157301056
155.0	0.04188032227328161	0.03468523527028042	0.16216895581257548	0.18907603781665908
156.0	0.04109850321931432	0.033908818249000494	0.1590653233328057	0.18620829940673353
157.0	0.04033415524242895	0.03315196446064326	0.1560318160110883	0.18339645123538387
158.0	0.03958683199033022	0.03241413223888729	0.15306660527454843	0.18063918044426455
159.0	0.03885609959754923	0.031694795949266066	0.15016791636178053	0.1779352094945718
160.0	0.0381415363193894	0.030993445499035256	0.14733402656612832	0.17528329511531862
161.0	0.03744273217649056	0.0303095858616962	0.14456326354186924	0.17268222728565513
162.0	0.036759288609742924	0.029642736615800077	0.14185400367085033	0.17013082825008366
163.0	0.03609081814527853	0.02899243149766005	0.1392046704872204	0.16762795156535898
164.0	0.035436944069276104	0.028358217967603756	0.13661373315800623	0.16517248117799838
165.0	0.034797300112323924	0.02773965678940267	0.13407970501737637	0.16276333053133163
166.0	0.03417153014307841	0.027136321622520262	0.13160114215252408	0.1603994417010458
167.0	0.033559287870972974	0.026547798626825977	0.12917664203919163	0.158079784558263
168.0	0.03296023655772545	0.02597368607942883	0.12680484222493546	0.15580335595919007
169.0	0.03237404873740539	0.025413594003289523	0.12448441905831836	0.15356917896042355
170.0	0.031800405944822925	0.024867143807276743	0.12221408646227913	0.1513763020590497
171.0	0.031238998452006422	0.02433396793734013	0.11999259475001464	0.14922379845667838
172.0	0.03068952501254101	0.0238137095384786	0.1178187294817671	0.1471107653466025
173.0	0.0301516926135458	0.023306022127189983	0.11569131036098138	0.14503632322329907
174.0	0.029625216235073564	0.02281056927409412	0.11360919016835701	0.14299961521352855
175.0	0.029109818616717024	0.022327024296429625	0.11157125373238236	0.14099980642828458
176.0	0.02860523003121634	0.021855069960130393	0.10957641693498887	0.13903608333491338
177.0	0.0281111880648646	0.021394398191195575	0.1076236257510286	0.13710765314872125
178.0	0.027627437404512522	0.020944709796073466	0.10571185532032033	0.13521374324341492
179.0	0.027153729630980238	0.0205057141907872	0.10384010905106549	0.13335360057976256
180.0	0.02668982301868696	0.020077129138536126	0.10200741775348214	0.13152649115185058
181.0	0.026235482341316084	0.019658680495514745	0.10021283880254811	0.12973169945037313
182.0	0.025790478683336115	0.01925010196469698	0.09845545532879406	0.1279685279423822
183.0	0.02535458925720444	0.018851134857341047	0.09673437543612169	0.1262362965669587
184.0	0.02492759722608257	0.018461527861975906	0.09504873144566936	0.12453434224628451
185.0	0.024509291531900467	0.018081036820638018	0.09339767916478102	0.12286201841159872
186.0	0.024099466728606973	0.017709424512132595	0.09178039718017587	0.12121869454357731
187.0	0.023697922820452463	0.01734646044210008	0.09019608617444333	0.11960375572663562
188.0	0.023304465105149396	0.016991920639675504	0.08864396826503335	0.11801660221672358
189.0	0.02291890402176671	0.01664558746053348	0.0871232863649336	0.11645664902216689
190.0	0.022541055003210114	0.01630724939611833	0.08563330356426281	0.11492332549712975
191.0	0.022170738333153573	0.015976700888864295	0.08417330253203528	0.1134160749472999
192.0	0.021807779007282656	0.015653742153216896	0.08274258493738489	0.1119343542473909
193.0	0.02145200659872096	0.015338179002271649	0.0813404708895571	0.11047763347009346
194.0	0.021103255127510025	0.015029822679852412	0.07996629839601171	0.10904539552609883
195.0	0.020761362934019808	0.01472848969785648	0.07861942283799878	0.10763713581484476
196.0	0.02042617255616933	0.014434001678698988	0.077299216462994	0.10625236188564087
197.0	0.020097530610339247	0.01414618520269448	0.07600506789340829	0.10489059310884054
198.0	0.01977528767586539	0.013864871660218157	0.07473638165100249	0.10355136035674692
199.0	0.01945929818300034	0.013589897108494125	0.07349257769646186	0.10223420569392817
200.0	0.019149420304238822	0.013321102132863409	0.07227309098360701	0.10093868207666347
201.0	0.018845515848901383	0.013058331712387865	0.07107737102773429	0.09966435306121538
202.0	0.018547450160877464	0.012801435089651689	0.06990488148760017	0.09841079252066176
203.0	0.018255092019429625	0.012550265644626173	0.06875509976058056	0.0971775843700079
204.0	0.017968313542963955	0.012304680772467214	0.0676275165905545	0.09596432229932485
205.0	0.017686990095676106	0.012064541765120033	0.06652163568807708	0.0947706095146604
206.0	0.017411000196983818	0.011829713696608601	0.06543697336242413	0.09359605848648016
207.0	0.017140225433659874	0.011600065311891932	0.06437305816510444	0.09244029070540082
208.0	0.0168745503745807	0.011375468919172665	0.06332943054445189	0.09130293644499331
209.0	0.016613862488012946	0.011155800285547218	0.06230564251092317	0.09018363453143051
210.0	0.016358052061355315	0.010940938535890486	0.0613012573127409	0.08908203211976992
211.0	0.01610701212326404	0.010730766054870925	0.060315849121533475	0.08799778447666731
212.0	0.015860638368085073	0.010525168391996026	0.05934900272763836	0.086930554769318
213.0	0.015618829082522769	0.010324034169590764	0.05840031324474516	0.08588001386043206
214.0	0.015381485074477712	0.010127254993614951	0.057469385823567164	0.08484584010907462
215.0	0.015148509603982691	0.009934725367228593	0.05655583537424188	0.08382771917716181
216.0	0.014919808316176607	0.00974634260701706	0.055659286297171436	0.08282534384146262
217.0	0.014695289176249892	0.009562006761790958	0.05477937222202272	0.08183841381093294
218.0	0.01447486240630214	0.009381620533878192	0.05391573575462022	0.08086663554920957
219.0	0.014258440424053258	0.009205089202828485	0.053068028231470527	0.0799097221021165
220.0	0.014045937783349723	0.009032320551453142	0.052235909481669084	0.07896739293002812
221.0	0.01383727111641205	0.008863224794125428	0.05141904759594732	0.07803937374493868
222.0	0.013632359077768792	0.008697714507269328	0.05061711870262809	0.0771253963521026
223.0	0.013431122289825886	0.008535704561966768	0.049829806750263786	0.07622519849609792
224.0	0.0132334832900204	0.00837711205861583	0.04905680329674087	0.0753385237111851
225.0	0.01303936647951082	0.00822185626357439	0.048297807304641824	0.07446512117583359
226.0	0.012848698073356129	0.008069858547726048	0.04755252494266194	0.07360474557128412
227.0	0.012661406052137766	0.007921042326907195	0.04682066939288657	0.07275715694403095
